dataset,file,V,E,x,peak_bytes,peak_h,adj_peak_bytes,adj_peak_h,arenas_at_adj_peak,stacks_at_adj_peak,adj_snapshot
graph_1_10,4_graph_1_10.lz4_20251002T220447Z.cg.massif.out,1063,336,1399,178462720,170.20 MiB,10530816,10.04 MiB,0,0,1
graph_1_5,4_graph_1_5.lz4_20251002T220417Z.cg.massif.out,512,4096,4608,178475008,170.21 MiB,10530816,10.04 MiB,0,0,1
graph_3_10,4_graph_3_10.lz4_20251002T223029Z.cg.massif.out,138015,749588,887603,193122304,184.18 MiB,26677248,25.44 MiB,0,0,1
graph_4_10,4_graph_4_10.lz4_20251002T222946Z.cg.massif.out,474615,3600020,4074635,339652608,323.92 MiB,72585216,69.22 MiB,0,0,1
graph_9_10,4_graph_9_10.lz4_20251002T222759Z.cg.massif.out,524796,4202434,4727230,423841792,404.21 MiB,81674240,77.89 MiB,0,0,1
synth_dna_k10_edges8_4M,4_synth_dna_k10_edges8_4M.mtx_20251002T222554Z.cg.massif.out,1048576,8388604,9437180,1404657664,1.31 GiB,10469376,9.98 MiB,0,0,0
synth_dna_k11_edges33_5M,4_synth_dna_k11_edges33_5M.mtx_20251002T222239Z.cg.massif.out,4194304,33554428,37748732,2263441408,2.11 GiB,10469376,9.98 MiB,0,0,0
synth_gen_dbg_dna_k7_edges130k,4_synth_gen_dbg_dna_k7_edges130k.mtx_20251002T220700Z.cg.massif.out,16384,131068,147452,1186709504,1.11 GiB,10629120,10.14 MiB,270336,0,2
synth_gen_dbg_dna_k7_edges130k,4_synth_gen_dbg_dna_k7_edges130k.mtx_20251002T224143Z.cg.massif.out,16384,131068,147452,1185656832,1.10 GiB,10629120,10.14 MiB,270336,0,2
synth_gen_dbg_protein20_k2_edges16k,4_synth_gen_dbg_protein20_k2_edges16k.mtx_20251002T220632Z.cg.massif.out,400,15980,16380,649719808,619.62 MiB,10629120,10.14 MiB,270336,0,2
