dataset,file,V,E,x,peak_bytes,peak_h,adj_peak_bytes,adj_peak_h,arenas_at_adj_peak,stacks_at_adj_peak,adj_snapshot
graph_1_10,1_graph_1_10.lz4_20251002T161955Z.cg.massif.out,1063,336,1399,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_1_5,1_graph_1_5.lz4_20251002T161925Z.cg.massif.out,512,4096,4608,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_3_10,1_graph_3_10.lz4_20251002T164310Z.cg.massif.out,138015,749588,887603,17679056,16.86 MiB,17679056,16.86 MiB,0,0,
graph_4_10,1_graph_4_10.lz4_20251002T162221Z.cg.massif.out,474615,3600020,4074635,60760768,57.95 MiB,60760768,57.95 MiB,0,0,
graph_4_10,1_graph_4_10.lz4_20251002T162654Z.cg.massif.out,474615,3600020,4074635,60760768,57.95 MiB,60760768,57.95 MiB,0,0,
graph_8_15,1_graph_8_15.lz4_20251002T210949Z.cg.massif.out,567890,23456789,24024679,1400685248,1.30 GiB,1400685248,1.30 GiB,0,0,
graph_9_10,1_graph_9_10.lz4_20251002T163709Z.cg.massif.out,524796,4202434,4727230,100770496,96.10 MiB,100770496,96.10 MiB,0,0,
synth_dna_k10_edges8_4M,1_synth_dna_k10_edges8_4M.mtx_20251002T184713Z.cg.massif.out,1048576,8388604,9437180,134234848,128.02 MiB,134234848,128.02 MiB,0,0,
synth_dna_k11_edges33_5M,1_synth_dna_k11_edges33_5M.mtx_20251002T183511Z.cg.massif.out,4194304,33554428,37748732,536888032,512.02 MiB,536888032,512.02 MiB,0,0,
synth_gen_dbg_dna_k7_edges130k,1_synth_gen_dbg_dna_k7_edges130k.mtx_20251002T181336Z.cg.massif.out,16384,131068,147452,2106224,2.01 MiB,2106224,2.01 MiB,0,0,
synth_gen_dbg_protein20_k2_edges16k,1_synth_gen_dbg_protein20_k2_edges16k.mtx_20251002T181454Z.cg.massif.out,400,15980,16380,972288,949.50 KiB,972288,949.50 KiB,0,0,
