dataset,file,V,E,x,peak_bytes,peak_h,adj_peak_bytes,adj_peak_h,arenas_at_adj_peak,stacks_at_adj_peak,adj_snapshot
graph_1_10,5_graph_1_10.lz4_20251002T220445Z.cg.massif.out,1063,336,1399,178462720,170.20 MiB,10530816,10.04 MiB,0,0,1
graph_1_5,5_graph_1_5.lz4_20251002T220418Z.cg.massif.out,512,4096,4608,178475008,170.21 MiB,10530816,10.04 MiB,0,0,1
graph_3_10,5_graph_3_10.lz4_20251002T223032Z.cg.massif.out,138015,749588,887603,193122304,184.18 MiB,26677248,25.44 MiB,0,0,1
graph_4_10,5_graph_4_10.lz4_20251002T222936Z.cg.massif.out,474615,3600020,4074635,222707712,212.39 MiB,72585216,69.22 MiB,0,0,1
graph_9_10,5_graph_9_10.lz4_20251002T222735Z.cg.massif.out,524796,4202434,4727230,310177792,295.81 MiB,81674240,77.89 MiB,0,0,1
synth_dna_k10_edges8_4M,5_synth_dna_k10_edges8_4M.mtx_20251002T222541Z.cg.massif.out,1048576,8388604,9437180,1212764160,1.13 GiB,10469376,9.98 MiB,0,0,0
synth_dna_k11_edges33_5M,5_synth_dna_k11_edges33_5M.mtx_20251002T222202Z.cg.massif.out,4194304,33554428,37748732,1495883776,1.39 GiB,10469376,9.98 MiB,0,0,0
synth_gen_dbg_dna_k7_edges130k,5_synth_gen_dbg_dna_k7_edges130k.mtx_20251002T220701Z.cg.massif.out,16384,131068,147452,1052762112,1003.99 MiB,10629120,10.14 MiB,270336,0,2
synth_gen_dbg_dna_k7_edges130k,5_synth_gen_dbg_dna_k7_edges130k.mtx_20251002T224150Z.cg.massif.out,16384,131068,147452,1186709504,1.11 GiB,10629120,10.14 MiB,270336,0,2
synth_gen_dbg_protein20_k2_edges16k,5_synth_gen_dbg_protein20_k2_edges16k.mtx_20251002T220633Z.cg.massif.out,400,15980,16380,1051291648,1002.59 MiB,10629120,10.14 MiB,270336,0,2
